Reaction SMILES,Reaction_Subclass
Brc1nc2ccccc2s1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#CC(=O)OCC>CCOC(=O)c1cn(CC2CCN(C(=O)OC(C)(C)C)CC2)nn1,3N
COC(=O)c1cccc(Br)n1.C#Cc1cccnc1>COC(=O)c1cccc(-n2cc(-c3cccnc3)nn2)n1,2N
Brc1ccc2c(c1)OCO2.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc3c(c2)OCO3)nn1,2Y
CC(C)(C)OC(=O)N1CCC(Br)C1.C#CC(=O)OCC>CCOC(=O)c1cn(C2CCN(C(=O)OC(C)(C)C)C2)nn1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
COc1ccc(Br)cc1OC.C#Cc1cccc([N+](=O)[O-])c1>COc1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1OC,2Y
Nc1cc(Br)ncn1.C#CC(C)(O)c1ccccc1>CC(O)(c1ccccc1)c1cn(-c2cc(N)ncn2)nn1,2Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccncc1>FC(F)(F)c1ccc(-n2cc(-c3ccncc3)nn2)cc1,2Y
Brc1ccc2c(c1)OCO2.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
Cc1ccnc(Br)c1.C#Cc1cccnc1>Cc1ccnc(-n2cc(-c3cccnc3)nn2)c1,2Y
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccs1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccs3)nn2)nc1C,3N
O=[N+]([O-])CBr.C#Cc1ccncc1>O=[N+]([O-])Cn1cc(-c2ccncc2)nn1,3N
Brc1ccc2cccnc2c1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2ccc3cccnc3c2)nn1,2Y
Brc1cnc2c(ccc3cccnc32)c1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2cnc3c(ccc4cccnc43)c2)nn1,2Y
COc1ccc(Br)cc1.C#CCCCCCC>CCCCCCc1cn(-c2ccc(OC)cc2)nn1,2N
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(CC3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc1,3Y
Nc1[nH]ncc1Br.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3cn[nH]c3N)nn2)cc1,2N
O=[N+]([O-])c1ccc(CBr)cc1.C#CCOCCO>O=[N+]([O-])c1ccc(Cn2cc(COCCO)nn2)cc1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccccc1>c1ccc(Oc2ccc(-n3cc(-c4ccccc4)nn3)cc2)cc1,2Y
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1ccc(F)cc1>O=C1c2ccccc2C(=O)N1CCCCCn1cc(-c2ccc(F)cc2)nn1,3N
NC(=O)c1ccc(Br)cc1.C#CC(C)(C)O>CC(C)(O)c1cn(-c2ccc(C(N)=O)cc2)nn1,2N
Brc1nccs1.C#Cc1ccccc1>c1ccc(-c2cn(-c3nccs3)nn2)cc1,2N
Brc1nc2ccccc2s1.C#Cc1cccs1>c1csc(-c2cn(-c3nc4ccccc4s3)nn2)c1,2Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1cccs1>Clc1ccc2cc(-n3cc(-c4cccs4)nn3)ccc2n1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(N)cc1>CC(C)(C)c1ccc(Cn2cc(-c3ccc(N)cc3)nn2)cc1,3Y
Brc1ccc2c(c1)OCO2.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
CCOC(=O)CCBr.C#Cc1ccc(OC)cc1>CCOC(=O)CCn1cc(-c2ccc(OC)cc2)nn1,3N
COc1ccc(Br)cc1.C#Cc1ccc(F)cc1>COc1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,2Y
BrCC1CCCCC1.C#Cc1ccccc1Cl>Clc1ccccc1-c1cn(CC2CCCCC2)nn1,3Y
